Title,Abstract,Journal,Language,Year,Month
Construction and mechanism study of lignin-based polyurethane with high strength and high self-healing properties.,"Lignin is a natural polymer with abundant functional groups with great application prospects in lignin-based polyurethane elastomers with self-healing abilities. In this study, a lignin self-healing polyurethane (PUDA-L) was specially designed using lignin as the raw material of polyurethane, combining lignin with Diels-Alder (DA) bond and hydrogen bonds. The experimental results showed that PUDA-L was prepared with good thermal stability, fatigue resistance, shape memory effect, excellent mechanical strength, and self-healing ability by partially replacing the crosslinking agents with bio-based lignin and hydroxylated modified lignin to increase the hydroxyl content. Polyurethane has a tensile strength of up to 29 MPa and an elongation at break of up to 500 %. The excellent self-healing ability of PUDA-L originates from the internal DA bonds and cross-linked hydrogen bonds. After the dumbbell sample was fused and heated at 130 °C for 4 h, the elastomer could be completely healed, the tensile strength was restored to 29 MPa, and the self-healing efficiency was up to 100 %. The developed PUDA-L elastomer has promising applications in sensors and smart skins.",International journal of biological macromolecules,eng,2023,Sep
Recent development and biomedical applications of self-healing hydrogels.,"Hydrogels are of special importance, owing to their high-water content and various applications in biomedical and bio-engineering research. Self-healing properties is a common phenomenon in living organisms. Their endowed property of being able to self-repair after physical/chemical/mechanical damage to fully or partially its original properties demonstrates their prospective therapeutic applications. Due to complicated preparation and selection of suitable materials, the application of many host-guest supramolecular polymeric hydrogels are so limited. Thus, the design and construction of self-repairing material are highly desirable for effectively increase in the lifetime of a functional material. However, recent advances in the field of materials science and bioengineering and nanotechnology have led to the design of biologically relevant self-healing hydrogels for therapeutic applications. This review focuses on the recent development of self-healing hydrogels for biomedical application.",Expert opinion on drug delivery,eng,2018,Jan
<i>In situ</i> self-assembly of polydopamine inside injectable hydrogels: antibacterial activity and photothermal therapy for superbug-infected wound healing.,"Inspired by the mussel foot proteins, polydopamine nanoparticles (PDA NPs) are often used to design hydrogel wound dressings due to their strong wet adhesion. However, additional antibiotics or nanometal bactericides are always required to enhance their poor antibacterial activity, which will cause drug resistance and toxic side effects. Herein, self-assembly confined PDA NPs (SC-PDA NPs, <50 nm) are employed as a freestanding antibacterial ingredient for constructing an ideal hydrogel wound dressing, which maintains relatively strong reducibility and size effect. Through a rapid gelation (within 10 s) strategy triggered by electrostatic complexation, an antibacterial hydrogel system is obtained, in which the <i>in situ</i> self-assembly of the SC-PDA NPs continues, endowing the gel with outstanding antibacterial activity, especially against methicillin-resistant <i>Staphylococcus aureus</i> (MRSA, >99.9%). With the continuous <i>in situ</i> self-assembly, the size of the PDA NPs increases (>200 nm), eventually giving the gel an efficient photothermal therapy effect. Moreover, the gel presents a relatively strong wet adhesion (63 kPa), superior biocompatibility and non-immunogenicity. This work offers innovative insights into the antibacterial mechanism of SC-PDA NPs and provides a novel design for constructing safe antibacterial hydrogel wound dressings, demonstrating great potential applications in superbug-infected wound healing.",Biomaterials science,eng,2022,Jul
Toward Self-Healing Concrete Infrastructure: Review of Experiments and Simulations across Scales.,"Cement and concrete are vital materials used to construct durable habitats and infrastructure that withstand natural and human-caused disasters. Still, concrete cracking imposes enormous repair costs on societies, and excessive cement consumption for repairs contributes to climate change. Therefore, the need for more durable cementitious materials, such as those with self-healing capabilities, has become more urgent. In this review, we present the functioning mechanisms of five different strategies for implementing self-healing capability into cement based materials: (1) autogenous self-healing from ordinary portland cement and supplementary cementitious materials and geopolymers in which defects and cracks are repaired through intrinsic carbonation and crystallization; (2) autonomous self-healing by (a) biomineralization wherein bacteria within the cement produce carbonates, silicates, or phosphates to heal damage, (b) polymer-cement composites in which autonomous self-healing occurs both within the polymer and at the polymer-cement interface, and (c) fibers that inhibit crack propagation, thus allowing autogenous healing mechanisms to be more effective. In all cases, we discuss the self-healing agent and synthesize the state of knowledge on the self-healing mechanism(s). In this review article, the state of computational modeling across nano- to macroscales developed based on experimental data is presented for each self-healing approach. We conclude the review by noting that, although autogenous reactions help repair small cracks, the most fruitful opportunities lay within design strategies for additional components that can migrate into cracks and initiate chemistries that retard crack propagation and generate repair of the cement matrix.",Chemical reviews,eng,2023,Sep
A Review on Cementitious Self-Healing and the Potential of Phase-Field Methods for Modeling Crack-Closing and Fracture Recovery.,"Improving the durability and sustainability of concrete structures has been driving the enormous number of research papers on self-healing mechanisms that have been published in the past decades. The vast developments of computer science significantly contributed to this and enhanced the various possibilities numerical simulations can offer to predict the entire service life, with emphasis on crack development and cementitious self-healing. The aim of this paper is to review the currently available literature on numerical methods for cementitious self-healing and fracture development using Phase-Field (PF) methods. The PF method is a computational method that has been frequently used for modeling and predicting the evolution of meso- and microstructural morphology of cementitious materials. It uses a set of conservative and non-conservative field variables to describe the phase evolutions. Unlike traditional sharp interface models, these field variables are continuous in the interfacial region, which is typical for PF methods. The present study first summarizes the various principles of self-healing mechanisms for cementitious materials, followed by the application of PF methods for simulating microscopic phase transformations. Then, a review on the various PF approaches for precipitation reaction and fracture mechanisms is reported, where the final section addresses potential key issues that may be considered in future developments of self-healing models. This also includes unified, combined and coupled multi-field models, which allow a comprehensive simulation of self-healing processes in cementitious materials.","Materials (Basel, Switzerland)",eng,2020,Nov
Analyzing the Mechanism of Functional Groups in Phosphate Additives on the Interface of LiNi<sub>0.8</sub>Co<sub>0.15</sub>Al<sub>0.05</sub>O<sub>2</sub> Cathode Materials.,"The design of a functional electrolyte system that is compatible with the LiNi<sub>0.8</sub>Co<sub>0.15</sub>Al<sub>0.05</sub>O<sub>2</sub> (LNCA) cathode is of great importance for advanced lithium-ion batteries (LIBs). In this work, chelated lithium salts of lithium difluoro(bisoxalato) phosphate (LiDFBOP) and lithium tetrafluoro(oxalate) phosphate (LTFOP) are synthesized by a facile and general method. Then, the complexes of LiDFBOP, LTFOP, and lithium difluorophosphate (LiDFP), all of which have a central phosphorus atom, were selected as the salt-type additives for the LiPF<sub>6</sub>-based electrolyte to improve the electrochemical performances of LNCA/Li half-batteries, respectively. The results of electrochemical tests, quantum chemistry calculations, potential-resolved <i>in situ</i> electrochemical impedance (PRIs-EIS) measurements, and surface analyses show that the interface property and the battery performance are closely associated with molecular structures of phosphorus-centered complex additives. It indicates that LiDFP with the P═O bond can significantly reduce the interfacial impedance of LNCA/Li half-batteries due to the increase of Li<sub>3</sub>PO<sub>4</sub> and the decrease of Li<sub>2</sub>CO<sub>3</sub> in the cathode electrolyte interface (CEI). While in LiDFBOP, according to the calculated vertical ionization potential (VIP), the two oxalate-chelated ligands bring about a bidirectional cross-linking reaction, which makes it preferential to be oxidized. This process is self-healing and can form a dense and stretched CEI, which is favorable to the cycle performance at the late stage. In contrast, the polymerization reaction will occur in one direction for LTFOP due to its lone oxalate ligand. Additionally, an unfavorable side reaction between LTFOP and EC has been proposed by the aid of Gibbs free energy calculation. This is a good explanation for the formation of the uneven and unstable CEI, as well as the continuous decomposition of the electrolyte in PRIs-EIS measurement. This work has an extensive applicability and practical significance not only for molecular designing of novel lithium salts, but also for the construction of a functional electrolyte system that is compatible with different electrode materials.",ACS applied materials & interfaces,eng,2021,Apr
Recycling industrial wastes into self-healing concrete: A review.,"Self-healing concrete is an innovative construction material designed to repair its cracks autogenously or autonomously. The self-healing effect reduces the need for maintenance and increases the longevity of concrete structures, bringing environmental and economic benefits. However, the developed methods to improve self-healing performance, e.g., incorporating advanced techniques or expensive chemical healing agents, significantly increase the cost of concrete manufacture. There is worldwide interest in using waste materials to reduce the cost of self-healing concrete, and a significant amount of studies have been performed on this topic. A review of research on waste-derived self-healing concrete is presented in this paper. The wastes were used in both autogenous and autonomous self-healing approaches, such as mineral admixture, bacteria-based technology, and engineered cementitious composite; different environmental conditions may significantly influence self-healing efficiency due to different reaction mechanisms. In general, waste materials could be reused to manufacture self-healing concrete if adopting appropriate mix design and treatment methods. Self-healing concrete made with various industrial wastes is an efficient way to reduce the manufacturing cost and promote its application in practice.",Environmental research,eng,2022,Nov
Review on Carbonation Study of Reinforcement Concrete Incorporating with Bacteria as Self-Healing Approach.,"This study carried out a comprehensive review to determine the carbonation process that causes the most deterioration and destruction of concrete. The carbonation mechanism involved using carbon dioxide (CO<sub>2</sub>) to penetrate the concrete pore system into the atmosphere and reduce the alkalinity by decreasing the pH level around the reinforcement and initiation of the corrosion process. The use of bacteria in the concrete was to increase the pH of the concrete by producing urease enzyme. This technique may help to maintain concrete alkalinity in high levels, even when the carbonation process occurs, because the CO<sub>2</sub> accelerates to the concrete and then converts directly to calcium carbonate, CaCO<sub>3</sub>. Consequently, the self-healing of the cracks and the pores occurred as a result of the carbonation process and bacteria enzyme reaction. As a result of these reactions, the concrete steel is protected, and the concrete properties and durability may improve. However, there are several factors that control carbonation which have been grouped into internal and external factors. Many studies on carbonation have been carried out to explore the effect of bacteria to improve durability and concrete strength. However, an in-depth literature review revealed that the use of bacteria as a self-healing mechanism can still be improved upon. This review aimed to highlight and discuss the possibility of applying bacteria in concrete to improve reinforcement concrete.","Materials (Basel, Switzerland)",eng,2022,Aug
The artificial leaf.,"To convert the energy of sunlight into chemical energy, the leaf splits water via the photosynthetic process to produce molecular oxygen and hydrogen, which is in a form of separated protons and electrons. The primary steps of natural photosynthesis involve the absorption of sunlight and its conversion into spatially separated electron-hole pairs. The holes of this wireless current are captured by the oxygen evolving complex (OEC) of photosystem II (PSII) to oxidize water to oxygen. The electrons and protons produced as a byproduct of the OEC reaction are captured by ferrodoxin of photosystem I. With the aid of ferrodoxin-NADP(+) reductase, they are used to produce hydrogen in the form of NADPH. For a synthetic material to realize the solar energy conversion function of the leaf, the light-absorbing material must capture a solar photon to generate a wireless current that is harnessed by catalysts, which drive the four electron/hole fuel-forming water-splitting reaction under benign conditions and under 1 sun (100 mW/cm(2)) illumination. This Account describes the construction of an artificial leaf comprising earth-abundant elements by interfacing a triple junction, amorphous silicon photovoltaic with hydrogen- and oxygen-evolving catalysts made from a ternary alloy (NiMoZn) and a cobalt-phosphate cluster (Co-OEC), respectively. The latter captures the structural and functional attributes of the PSII-OEC. Similar to the PSII-OEC, the Co-OEC self-assembles upon oxidation of an earth-abundant metal ion from 2+ to 3+, may operate in natural water at room temperature, and is self-healing. The Co-OEC also activates H(2)O by a proton-coupled electron transfer mechanism in which the Co-OEC is increased by four hole equivalents akin to the S-state pumping of the Kok cycle of PSII. X-ray absorption spectroscopy studies have established that the Co-OEC is a structural relative of Mn(3)CaO(4)-Mn cubane of the PSII-OEC, where Co replaces Mn and the cubane is extended in a corner-sharing, head-to-tail dimer. The ability to perform the oxygen-evolving reaction in water at neutral or near-neutral conditions has several consequences for the construction of the artificial leaf. The NiMoZn alloy may be used in place of Pt to generate hydrogen. To stabilize silicon in water, its surface is coated with a conducting metal oxide onto which the Co-OEC may be deposited. The net result is that immersing a triple-junction Si wafer coated with NiMoZn and Co-OEC in water and holding it up to sunlight can effect direct solar energy conversion via water splitting. By constructing a simple, stand-alone device composed of earth-abundant materials, the artificial leaf provides a means for an inexpensive and highly distributed solar-to-fuels system that employs low-cost systems engineering and manufacturing. Through this type of system, solar energy can become a viable energy supply to those in the non-legacy world.",Accounts of chemical research,eng,2012,May
Dynamic covalent polymers enabled by reversible isocyanate chemistry.,"The design of responsive materials by introducing dynamic covalent bonds (DCBs), which can undergo reversible association and dissociation under certain conditions, is an appealing research field in recent years. Reversible isocyanate chemistry representatively consists of urethane, thiourethane, and urea bonds, all of which can reverse into their own starting chemicals (isocyanates and active hydrogen compounds) upon heating. In this article, we overview the mechanisms and experimental elements affecting the dynamic features of isocyanate-based bonds (IBs). With the knowledge of reversible isocyanate chemistry, the construction strategies of different dynamic covalent polymers including polyurethanes, polyureas, and polythiourethanes are discussed, in particular for dynamic polymer networks. The major applications of dynamic isocyanate-based polymers in recycling and self-healing materials, shape morphing polymers, 3D printing, and composites are outlined. The emergence of reversible isocyanate chemistry offers a highly effective platform to engineer thermally adaptable materials.","Chemical communications (Cambridge, England)",eng,2022,Nov
Rationally Constructed Surface Energy and Dynamic Hard Domains Balance Mechanical Strength and Self-Healing Efficiency of Energetic Linear Polymer Materials.,"Polymeric materials that simultaneously possess excellent mechanical properties and high self-healing ability at room temperature, convenient healing, and facile fabrication are always a huge challenge. Herein, we report on surface-energy-driven self-healing energetic linear polyurethane elastomers (EPU) that were facilely fabricated by two-step methods to acquire high healing efficiency and mechanical properties. By constructing surface energy and dynamic hard domains, energetic linear polyurethane elastomers not only obtained high healing ability and mechanical properties at high or room temperature but also avoid the use of some assisted healing conditions and complex chemical structure design and decrease manufacturing difficulty. Based on the interfacial healing physical model, various trends of surface tension, radius, and depth of the crack bottom were calculated to analyze the healing mechanism. We propose that polyurethane elastomers with low junction density could generate excess surface energy resulting from damage and drive self-healing, and incorporating a small amount of disulfide bonds increases the slightly packed hard phase and decreases the healing energy barrier. This work may offer a novel strategy for improving mechanical tensile and healing ability in the field of self-healing material application.",Langmuir : the ACS journal of surfaces and colloids,eng,2021,Aug
Application of f-FeNC@GOx cascade enzyme nanomaterials in the healing of infected wounds.,"Bacterial infection is a significant factor contributing to the deterioration of wounds, and the misuse of antibiotics has exacerbated bacterial resistance. Therefore, there is an urgent need to develop a novel antibacterial strategy to replace conventional therapies. This study aims to construct a self-activated cascade reaction nanozyme, f-FeNC@GOx, which triggers a cascade reaction in the presence of glucose. This cascade reaction generates highly toxic hydroxyl radicals (OH), thereby achieving the goal of eliminating bacteria and promoting wound healing.",Life sciences,eng,2023,Sep
Polymeric Emissive Materials Based on Dynamic Covalent Bonds.,"Dynamic covalent polymers, composed of dynamic covalent bonds (DCBs), have received increasing attention in the last decade due to their adaptive and reversible nature compared with common covalent linked polymers. Incorporating the DCBs into the polymeric material endows it with advanced performance including self-healing, shape memory property, and so forth. However, the emissive ability of such dynamic covalent polymeric materials has been rarely reviewed. Herein, this review has summarized DCBs-based emissive polymeric materials which are classified according to the different types of DCBs, including imine bond, acylhydrazone bond, boronic ester bond, dynamic C-C bond, as well as the reversible bonds based on Diels-Alder reaction and transesterification. The mechanism of chemical reactions and various stimuli-responsive behaviors of DCBs are introduced, followed by typical emissive polymers resulting from these DCBs. By taking advantage of the reversible nature of DCBs under chemical/physical stimuli, the constructed emissive polymeric materials show controllable and switchable emission. Finally, challenges and future trends in this field are briefly discussed in this review.","Molecules (Basel, Switzerland)",eng,2022,Oct
[Research progress in spore-based in-situ restoration technology of concrete with microorganisms].,"Concrete is the most widely used modern building material. It is easy to crack under the action of stress, which makes the concrete structure permeable, affecting the durability and integrity of the structure, and thus shortening its service life. Microbial in-situ remediation technology is a low cost, effective and green way for concrete crack repairing. Due to its excellent biocompatibility, service life elongation, economic losses and environmental pollution reduction, microbial in-situ remediation technology has been intensively investigated. Bacillus has attracted much attention because of its excellent biomineralization ability, extremely strong environmental tolerance and long-term survival ability of its spores. In order to promote the research, development and large-scale application of microbial in-situ healing of concrete, the paper reviews the mechanism of spore-based in-situ healing of concrete, the survival of spores exposed in concrete, the influence of spores and external additives on the mechanical properties of concrete, progress in research and development of healing agent as well as healing effects. Moreover, future research focuses such as improving the survival ability of spores in the harsh environment of concrete, reducing the influence of external additives on the mechanical properties of concrete, and strengthening the healing effect of actual field applications are also summarized.",Sheng wu gong cheng xue bao = Chinese journal of biotechnology,chi,2021,Jul
Advanced self-healing asphalt composites in the pavement performance field: mechanisms at the nano level and new repairing methodologies.,"In an effort to give a global view of this field of research, in this mini-review we highlight the most recent publications and patents focusing on modified asphalt pavements that contain certain reinforcing nanoparticles which impart desirable thermal, electrical and mechanical properties. In response to the increasing cost of asphalt binder and road maintenance, there is a need to look for alternative technologies and new asphalt composites, able to self-repair, for preserving and renewing the existing pavements. First, we will focus on the self-healing property of asphalt, the evidences that support that healing takes place immediately after the contact between the faces of a crack, and how the amount of healing can be measured in both the laboratory and the field. Next we review the hypothetical mechanisms of healing to understand the material behaviour and establish models to quantify the damage-healing process. Thereafter, we outline different technologies, nanotechnologies and methodologies used for self-healing paying particular attention to embedded micro-capsules, new nano-materials like carbon nanotubes and nano-fibres, ionomers, and microwave and induction heating processes.",Recent patents on nanotechnology,eng,2015,No Data
Metal organic frameworks (MOFs) as multifunctional nanoplatform for anticorrosion surfaces and coatings.,"Corrosion of metallic materials is a long-standing problem in many engineering fields. Various organic coatings have been widely applied in anticorrosion of metallic materials over the past decades. However, the protective performance of many organic coatings is limited due to the undesirable local failure of the coatings caused by micro-pores and cracks in the coating matrix. Recently, metal organic frameworks (MOFs)-based surfaces and coatings (MOFBSCs) have exhibited great potential in constructing protective materials on metallic substrates with efficient and durable anticorrosion performance. The tailorable porous structure, flexible composition, numerous active sites, and controllable release properties of MOFs make them an ideal platform for developing various protective functionalities, such as self-healing property, superhydrophobicity, and physical barrier against corrosion media. MOFs-based anticorrosion surfaces and coatings can be divided into two categories: the composite surfaces/coatings using MOFs-based passive/active nanofillers and the surfaces/coatings using MOFs as functional substrate support. In this work, the state-of-the-art fabrication strategies of the MOFBSCs are systematically reviewed. The anticorrosion mechanisms of MOFBSCs and functions of the MOFs in the coating matrix are discussed accordingly. Additionally, we highlight both traditional and emerging electrochemical techniques for probing protective performances and mechanisms of MOFBSCs. The remaining challenging issues and perspectives are also discussed.",Advances in colloid and interface science,eng,2022,Jul
Self-Healing Approach toward Catalytic Soft Robots.,"Soft robotics is a rapidly evolving research field that focuses on developing robots with bioinspired actuation/sensing mechanisms and highly flexible soft materials, some of which are similar to those found in living organisms. The hydrogel has the characteristics of excellent biocompatibility, softness, and elasticity, which makes it an ideal candidate material for the preparation of soft robots. Here we utilized a self-healing approach to develop a catalytically driven soft robot, which was constructed by dynamic imine bonds between modular hydrogels. One of the modules was a hydrogel formed by dynamic aldimine cross-linking of chitosan and glutaraldehyde, and the other module was a hydrogel embedded with catalase. The soft hydrogel robot moved because of catalytic reactions between the robot and environment [hydrogen peroxide (H<sub>2</sub>O<sub>2</sub>) fuel], giving rise to a fluidic release that supports propulsion, as inspired by the jet-propulsive mechanism in swimming dragonfly larvae. The speed of the soft robot can be mediated by adjusting the concentration of H<sub>2</sub>O<sub>2</sub> and enable/disable movement based on the folding and unfolding of enzymes. In addition, the hydrogel formed by replacing glutaraldehyde with dialdehyde-functionalized PEG<sub>2000</sub> had excellent elastic properties, and the soft robot based on PEG<sub>2000</sub> had a higher movement speed than that based on glutaraldehyde under the same H<sub>2</sub>O<sub>2</sub> concentration. Moreover, the addition of iron oxide nanoparticles can realize the magnetic guidance of the soft robot and the combination of different modules can realize different motion modes. The highly configurable self-healing catalytic soft robot holds great potential for a variety of interesting applications, including swimming robots, robot-assisted water treatment, and drug release.",ACS applied materials & interfaces,eng,2022,Sep
