Title,Author Info,Abstract
Self-healing soft electronics,"J Kang, JBH Tok, Z Bao - Nature Electronics, 2019 - nature.com","… constructing soft electronic materials that are mechanically robust and can self-repair. Here 
we review the development of self-healing electronic materials … intrinsic self-healing materials …"
Water‐Insensitive Self‐Healing Materials: From Network Structure Design to Advanced Soft Electronics,"H Yao, T Liu, YQ Jia, YJ Du, BW Yao… - … Functional Materials, 2023 - Wiley Online Library","… This suggests the potential of the hydrophobic effect in constructing water-insensitive self-healing 
materials and its ability to complement other design strategies. In conclusion, …"
[PDF][PDF] Is there a market for self-healing cement-based materials,"K Van Breugel - … international conference on self-healing materials, 2007 - cyberleninka.org","… almost 45% of the UK’s activity in the construction and building industry [3]. According to 
the DEFRA [4] the building and construction industry is estimated to be responsible for up to 50…"
[CITATION][C] An experimental study on fly ash as self-healing material,"RAB Depaa, TF Kala - Int. J. Appl. Eng. Res, 2018",
Repair mechanism and application of self-healing materials for food preservation,"J Wang, Q Gao, F Zhao, J Ju - Critical Reviews in Food Science …, 2023 - Taylor & Francis","… The construction of self-healing materials by metal coordination reactions refers to the 
introduction of metal ions into the polymer matrix through the coordination between organic …"
Self-healing polymers based on thermally reversible Diels–Alder chemistry,"YL Liu, TW Chuo - Polymer Chemistry, 2013 - pubs.rsc.org","… The development of self-healing materials has received … on the self-healing polymeric 
materials with thermally … liquid monomers in the construction of self-healing polymers are obvious. …"
Recent advances on self‐healing materials and batteries,"H Wang, P Wang, Y Feng, J Liu, J Wang… - …, 2019 - Wiley Online Library","… reviews the topic of self-healing materials and batteries by … self-healing mechanisms and 
various self-healing materials are … g) The construction process of a block hydrogel from different …"
[HTML][HTML] A survey on problems encountered in current concrete construction and the potential benefits of self-healing cementitious materials,"D Gardner, R Lark, T Jefferson, R Davies - … studies in construction materials, 2018 - Elsevier","… to use the self-healing cementitious materials that have been … these materials may be 
deployed in the construction industry… benefit most from self-healing cementitious materials, with …"
Development and application of self-healing materials in smart batteries and supercapacitors,"Y Cheng, X Xiao, K Pan, H Pang - Chemical Engineering Journal, 2020 - Elsevier","… (a) Schematic illustration of the hierarchical structure design strategy of PUDA/CNTs 
composite: from the molecular engineering to CNTs segregation network construction. (b) …"
"[HTML][HTML] Large scale application of self-healing concrete: Design, construction, and testing","R Davies, O Teall, M Pilegis, A Kanellopoulos… - … in Materials, 2018 - frontiersin.org","… of self-healing cementitious construction materials. This paper describes the UK's first site 
trial of self-healing … The trial comprised the in-situ construction of five concrete panels using a …"
"[BOOK][B] Self-healing materials: fundamentals, design strategies, and applications",SK Ghosh - 2009 - Wiley Online Library,"… Self-healing materials are no more an illusion and we are not far away from the days when 
manmade materials can restore … The construction industry will also find many applications of …"
The versatility of polymeric materials as self-healing agents for various types of applications: A review,"NNF Nik Md Noordin Kahar, AF Osman, E Alosime… - Polymers, 2021 - mdpi.com","… , and construction fields. It is expected that this review gives a significantly broader idea of 
… Finally, in order to gain an overall insight into the self-healing materials, the advantages and …"
[PDF][PDF] Bioengineered concrete-a sustainable self-healing construction material,"M Rao, VS Reddy, M Hafsa, P Veena, P Anusha - Res. J. Eng. Sci. ISSN, 2013 - isca.me","… and repair is to incorporate an autonomous self-healing mechanism in concrete. One such 
… as a sustainable and concrete-embedded self healing agent was studied and results from …"
[HTML][HTML] Factors influencing self-healing mechanisms of cementitious materials: A review,"A Mohamed, Y Zhou, E Bertolesi, M Liu, F Liao… - Construction and …, 2023 - Elsevier","… of self-healing material, using novel techniques to bring cementitious materials back to its … 
the researchers in the field to achieve a self-healing material, with the main focus being on the …"
A probabilistic method for determining the volume fraction of pre-embedded capsules in self-healing materials,"Z Lv, H Chen - Smart materials and structures, 2014 - iopscience.iop.org","… of self-healing materials the models of hitting probability will gain importance and will be used 
in conjunction with self-healing material … on Advances in Construction Materials Through …"
Self‐healing polymers based on coordination bonds,"CH Li, JL Zuo - Advanced Materials, 2020 - Wiley Online Library","… synthesized many self-healing materials by encapsulating … effective for constructing highly 
efficient self-healing polymers… be utilized for constructing self-healing polymer because we …"
"Magnetic liquid metal (Fe‐EGaIn) based multifunctional electronics for remote self‐healing materials, degradable electronics, and thermal transfer printing","R Guo, X Sun, B Yuan, H Wang, J Liu - Advanced Science, 2019 - Wiley Online Library","… self‐healing under magnetic field, water‐degradable, and thermal transfer printing, which 
attribute to three parts of the materials … The self‐healing time from multipoint damage is pretty …"
Self-healing materials: a review,"RP Wool - Soft Matter, 2008 - pubs.rsc.org","… In this review, the current status of self-healing materials is examined in Section 1, which … 
self-healing, autonomic self-healing and ballistic self-repair. Section 2 examines self-healing …"
Self‐healing biomaterials,"ABW Brochu, SL Craig… - … Materials Research Part A, 2011 - Wiley Online Library","… field of self-healing materials, and also to suggest how one could utilize and modify … science 
in applications ranging from aerospace engineering to construction materials. While several …"
"Synthesis, Mechanism, and Applications of Self-healing Materials","S Jadoun - Biomedical Materials & Devices, 2023 - Springer","… the construction of vascular and capsular networks, and various applications of self-healing 
materials such … The potential of self-healing materials to revolutionize various applications is …"
Biological archetypes for self-healing materials,"MJ Harrington, O Speck, T Speck, S Wagner… - … -healing materials, 2016 - Springer","… a materials science perspective, with regards to the development of self-healing materials, … 
its remarkable growth rates by first constructing a porous framework. During longitudinal …"
Basics of self-healing composite materials,"M Mobaraki, M Ghaffari, M Mozafari - Self-Healing Composite Materials, 2020 - Elsevier","… applied to design self-healing materials and these man-made materials can heal damage 
… efficiency is concrete because it is the second most consumed construction material in the …"
A comprehensive review on the properties of engineered cementitious composite with a self-healing material,"B Sunantha, ES Poojalakshmi, J Sudhakumar… - Materials Today …, 2023 - Elsevier","… Concrete is the necessary material in the construction industry. It is composed of coarse … 
have been utilised in construction industry for various applications. The raw materials utilized in …"
Construction of a dual ionic network in natural rubber with high self-healing efficiency through anionic mechanism,"J Liu, C Xiao, J Tang, Y Liu, J Hua - Industrial & Engineering …, 2020 - ACS Publications","… self-healing materials, construction of a reversible network in a nonpolar elastomer with a 
high strength and self-healing … ionomers with a high self-healing efficiency through an anionic …"
"Materials, theories and experiments of microcapsule self-healing method—A review","S Zhou, H Zhu, Z Yan - Tunneling and underground construction, 2014 - ascelibrary.org","… The focus of this paper is to summarize the motivation of using self-healing materials and 
classify the investigations on the microcapsule-enabled concrete in terms of its components …"
Microfluidic generation of self-contained multicomponent microcapsules for self-healing materials,"C Zhang, W Gao, Y Zhao, Y Chen - Applied Physics Letters, 2018 - pubs.aip.org","… These results indicate that the self-contained microcapsules can open up avenues for 
preparing functional microfluidic systems and constructing intelligent self-healing materials for …"
[HTML][HTML] Self-healing materials for electronics applications,"F Mashkoor, SJ Lee, H Yi, SM Noh… - International Journal of …, 2022 - mdpi.com","… This review article summarizes various self-healing techniques that are … self-healing 
composite materials. This paper further surveys the electronic applications of self-healing materials …"
A self-healing PDMS polymer with solvatochromic properties,"XY Jia, JF Mei, JC Lai, CH Li, XZ You - Chemical Communications, 2015 - pubs.rsc.org","… Coordination bonds are effective for constructing functional self-healing materials due to … 
in self-healing materials and our materials can be useful as solvent detecting materials with …"
Self-healing properties of cement-based and alkali-activated slag-based fiber-reinforced composites,"HH Nguyễn, JI Choi, KI Song, JK Song, J Huh… - Construction and …, 2018 - Elsevier","… The findings presented in this research provide a preliminary approach for developing a new 
self-healing material based on alkali-activated slag. According to the unique characteristics …"
A new generation self-healing composite materials,"M Priyadarsini, DR Sahoo, T Biswal - Materials Today: Proceedings, 2021 - Elsevier","… Self-healing material is a novel sustainable material and can be successfully applied in … , 
home utensils, biomedical implants, sports equipment, water purifiers, construction materials. A …"
Fundamentals of Self-Healing Construction Materials,"A Kanellopoulos, J Norambuena-Contreras - Self-Healing Construction …, 2022 - Springer","… for developing new materials and … , self-healing materials have a significant role to play. 
Inspired by nature and the intrinsic healing process of living organisms, self-healing materials …"
"[HTML][HTML] Ultrarobust, tough and highly stretchable self-healing materials based on cartilage-inspired noncovalent assembly nanostructure","Y Wang, X Huang, X Zhang - Nature communications, 2021 - nature.com","… It indicates that the increased content of TA-WS 2 nanosheets inhibits the thermal motion 
of PU molecular chains, and the self-healing property is dominated by the construction of …"
Self-healing concrete with crystalline admixture–a review,"S Guzlena, G Sakale - IOP Conference Series: Materials Science …, 2019 - iopscience.iop.org","… Concrete is the most used construction material for years. However long term serviceability 
… To prolong service life self-healing materials can be used. Self-healing materials have many …"
[BOOK][B] Self-healing phenomena in cement-Based materials: state-of-the-art report of RILEM technical committee 221-SHC: self-Healing phenomena in cement …,"M De Rooij, K Van Tittelboom, N De Belie… - 2013 - Springer","… RILEM’s focus is on construction materials and their use in building and civil engineering … 
Self-healing materials is a new dynamically developing area of materials research. Since …"
[HTML][HTML] Bioinspired self-healing materials: lessons from nature,"JC Cremaldi, B Bhushan - Beilstein Journal of …, 2018 - beilstein-journals.org","… In modern times, concrete is the most used construction material on Earth, making the … and 
self-healing materials, we can find gaps or new approaches to self-healing material design. …"
"Recent advancements in self-healing materials: Mechanicals, performances and features","N Wen, T Song, Z Ji, D Jiang, Z Wu, Y Wang… - Reactive and Functional …, 2021 - Elsevier","… of materials could be restored to the original state. In this review, we focus on … self-healing 
materials in mechanicals, performances and features. We classified the self-healing materials …"
Self-healing concrete for sustainable buildings. A review,"MR Hossain, R Sultana, MM Patwary, N Khunga… - Environmental …, 2022 - Springer","… self-healing materials that are capable of repairing narrow cracks automatically. Here we 
review self-healing … capability of the concrete structure is the demand from the construction …"
Biomimetic self-healing cementitious construction materials for smart buildings,"KW Shah, GF Huseien - Biomimetics, 2020 - mdpi.com","… systems known as non-autonomic self-healing materials [16]. … It is established that inclusion 
of self-healing materials in the … on the nature of the materials and self-healing process. It was …"
Self-healing UI: Mechanically and electrically self-healing materials for sensing and actuation interfaces,"K Narumi, F Qin, S Liu, HY Cheng, J Gu… - Proceedings of the …, 2019 - dl.acm.org","… self-healing material. Recently, intrinsic, autonomous, and mechanically robust selfhealing 
material … [57], which can be useful if we do not need the soft property of self-healing materials. …"
[HTML][HTML] Analytical model for effects of capsule shape on the healing efficiency in self-healing materials,"Z Lv, S Li, H Chen - Plos one, 2017 - journals.plos.org","… self-healing efficiency in capsule-based self-healing material. From the view of capsule 
shape, many researches on the healing efficiency of capsules focused on the spherical capsules…"
Supramolecular self-healing materials from non-covalent cross-linking host–guest interactions,"G Sinawang, M Osaki, Y Takashima… - Chemical …, 2020 - pubs.rsc.org","… Non-covalent cross-linking is an attractive method to the construction of self-healing materials. 
The use of host–guest interactions from macrocyclic compounds is an important approach…"
Self-Healing Materials,"G Wypych - Principles and Technology, 2019 - Elsevier","… materials used in the automotive industry, construction, composite … materials scientists and 
engineers to reduce risk of degradation and materials failure by using self-healing materials …"
Chemical and physical aspects of self-healing materials,"Y Yang, X Ding, MW Urban - Progress in Polymer Science, 2015 - Elsevier","… materials have been explored. This review examines chemical and physical processes 
occurring during self-healing … The complex nature of processes involved in self-healing demands …"
Self-healing efficiency of cementitious materials containing tubular capsules filled with healing agent,"K Van Tittelboom, N De Belie, D Van Loo… - Cement and Concrete …, 2011 - Elsevier","… Therefore, autonomous crack healing of concrete, a construction material … self-healing 
thermoplastics. In: Proceedings of the second international conference on self-healing materials…"
Covalent adaptable network and self-healing materials: current trends and future prospects in sustainability,"A Khan, N Ahmed, M Rabnawaz - Polymers, 2020 - mdpi.com","… self-healing materials is the number of articles published in 2020. In the case of CAN, the 
number of articles has already surpassed those of 2019, while self-healing … for the self-healing …"
Self-healing concrete: A review of recent research developments and existing research gaps,"S Mahmoodi, P Sadeghian - … Materials, Laval, QC, Canada, 2019 - dalspace.library.dal.ca","… Abstract: Self-healing materials are defined as the materials that are able … self-healing 
concrete missing in the literature that inhibits this technology from being utilized in the construction…"
Research progress in bio-based self-healing materials,"M Zhu, J Liu, L Gan, M Long - European Polymer Journal, 2020 - Elsevier","… the main self-healing mechanisms among the biomass self-healing materials and fabrication 
techniques are firstly summarized, and the self-healing performances of the materials are …"
Constructing self-healing high-strength elastomer with condensed state microphase separation by solubilization and copolymerization,"Y Wang, CW Lou, Y Wang, X Zhang, HT Ren, JH Lin… - Polymer, 2022 - Elsevier","… Another type of self-healing materials mainly is polyurethane (PU), which without … self-healing 
materials for wide application. In this work, we prepared an excellent self-healing material …"
… self-healing and mechanical recovery performance of cement composites materials using encapsulated expandable inorganic materials based solid healing materials,"YW Choi, EJ Nam, CG Kim, SR Oh - … Recycled Construction …, 2022 - koreascience.kr","… In this paper, to evaluate the effect of SC on the crack self-healing performance … material-based 
solid healing materials were prepared. SC was mixed with cement composite materials to …"
Synthesis of Nanocellulose from Durian Rinds for the Preparation of a Self-healing Smart Concrete with Augmented Mechanical Properties,"IY Damasco, JMM Gallawan… - Chemical Engineering …, 2022 - cetjournal.it","… Results showed that the addition of the selfhealing material … Hence, the prepared encapsulated 
self-healing material embedded in … construction and the potential benefits of self-healing …"
Mechanical properties and self-healing capacity of eco-friendly ultra-high ductile fiber-reinforced slag-based composites,"HH Nguyễn, JI Choi, HK Kim, BY Lee - Composite Structures, 2019 - Elsevier","… of cementless inorganic construction materials capable of self-healing has become a highly 
… of a new self-healing material. Notably, there are some crystal-like materials found along the …"
Implementing Industry 4.0 technologies in self-healing materials and digitally managing the quality of manufacturing,"M Ammar, A Haleem, M Javaid, S Bahl… - Materials Today …, 2022 - Elsevier","… the most fundamental type of self-healing material, and as such, … -self-healing material into 
a self-healing material. To accomplish this, microcapsules must be introduced into the material…"
Addressing infrastructure durability and sustainability by self healing mechanisms-Recent advances in self healing concrete and asphalt,"E Schlangen, S Sangadji - Procedia Engineering, 2013 - Elsevier","… New emerging self healing materials science provides solutions … research on self healing 
of cracks in cement based materials and … In Europe, 50% of the annual construction budget is …"
"[HTML][HTML] Self-healing materials-based electronic skin: mechanism, development and applications","J Chen, L Wang, X Xu, G Liu, H Liu, Y Qiao, J Chen… - Gels, 2022 - mdpi.com","… Guest–host chemistry is commonly used in constructing self-healing polymers. For 
instance, the hydrophobic cavity of β-cyclodextrin can accommodate a diverse range of guest …"
Bacteria based self healing concrete–A review,"K Vijay, M Murmu, SV Deo - Construction and building materials, 2017 - Elsevier","… -encapsulation method integrating healing agent for self-healing of materials. As soon as 
the … The self-healing by encapsulation has the ability to provide high-quality self-healing, in …"
"A novel, high strength, ultra-fast room temperature self-healing elastomers via structural functional region optimization strategy","T Jing, X Heng, T Jingqing, L Haozhe, L Li… - Chemical Engineering …, 2023 - Elsevier","… to room temperature self-healing material previously reported. In … the construction of room 
temperature self-healing materials … self-healing rate among reported self-healing materials with …"
Validation of Self‐Healing Properties of Construction Materials through Nondestructive and Minimal Invasive Testing,"D Snoeck, F Malm, V Cnudde… - Advanced Materials …, 2018 - Wiley Online Library","When studying the self‐healing properties of construction materials, a plethora of destructive 
and nondestructive testing (NDT) techniques can be used. In this review, the applicability of …"
Application of self-healing materials in architecture and construction industry: an exploratory review,"S HERNANDEZ MORENO, JL TORRES QUINTANA… - ri.uaemex.mx","… on the applications of self-healing materials in construction industry, … self-healing materials, 
while other studies only refer to the assessment and analysis of some self-healing materials…"
Design Principles of Interfacial Dynamic Bonds in Self‐Healing Materials: What are the Parameters?,"MA Sattar, A Patnaik - Chemistry–An Asian Journal, 2020 - Wiley Online Library","… The atomic origins of self-healing was demonstrated by constructing 2D H-bond (DH⋅⋅⋅A) 
between donor D and acceptor A using potential of the mean force (PMF) according to the …"
[PDF][PDF] Industrial application of biological self-healing concrete: Challenges and economical feasibility.,"FB Silva, N Boon, ND Belie… - Journal of Commercial …, 2015 - researchgate.net","… It is the most widely used construction material in the world with a usage, worldwide, twice … 
by the SHeMat project “Training Network for Self-Healing Materials: from Concepts to Market” …"
Self healing in concrete materials,"VC Li, EH Yang - Self healing materials: an alternative approach to 20 …, 2007 - Springer","… cost-sensitive construction industry in which large volumes of materials are used daily • 
Reliability: Consistent self healing in a broad range of typical concrete structure environments …"
First generation microcapsule-based self-healing cementitious construction repair materials,"C Litina, A Al-Tabbaa - Construction and Building Materials, 2020 - Elsevier","… further work on optimisation of self-healing performance of the repair material. … self-healing 
in cementitious materials and engineered cementitious composite as a self-healing material …"
Self‐healing materials for energy‐storage devices,"W Mai, Q Yu, C Han, F Kang, B Li - … Functional Materials, 2020 - Wiley Online Library","… self-healing ESDs. We first summarize the recent progress of several class of self-healing 
materials … application of self-healing materials in ESDs according to their self-healing chemistry…"
Sustainability of nanomaterials based self-healing concrete: An all-inclusive insight,"GF Huseien, KW Shah, ARM Sam - Journal of Building Engineering, 2019 - Elsevier","… Particularly, it is advantageous when human interference is difficult such as in construction 
… fabrication of self-healing materials has taken new frontiers, wherein materials with particle …"
Performance and efficiency of self-healing geopolymer technologies: A review,"A Al-Fakih, MAA Mahamood, MA Al-Osta… - Construction and …, 2023 - Elsevier","… Self-healing geopolymer (SHG) concrete is an innovative construction material that has … 
technologies necessitates the development of self-healing materials to prevent deterioration due …"
Effects of the type of activator on the self-healing ability of fiber-reinforced alkali-activated slag-based composites at an early age,"HH Nguyễn, JI Choi, HK Kim, BY Lee - Construction and Building Materials, 2019 - Elsevier","This paper presents an experimental investigation of the self-healing ability of fiber-reinforced 
slag-based composites activated by a single type of alkali activator at an early age. In …"
A review of self-healing concrete research development,"A Talaiekhozani, MZ Abd Majid - Journal of Environmental …, 2014 - papers.ssrn.com","… different self-healing materials such as … Self-healing in cementitious materials and 
engineered cementitious composite as a self-healing material, Construction and Building Materials …"
Prospects of application of self-healing materials and technologies based on them,"NN Sitnikov, IA Khabibullina, VI Mashchenko… - Inorganic Materials …, 2018 - Springer","… The aim of this work is to analyze the available data on self-healing materials of different … 
of the practical implementation of self-healing materials and technologies based on them. …"
Construction of self‐healing internal electric field for sustainably enhanced photocatalysis,"B Dai, Y Yu, Y Chen, H Huang, C Lu… - … Functional Materials, 2019 - Wiley Online Library","… helical structure may own self-healing ability, due … self-healing internal electric fields 
for sustainably enhanced photocatalysis and the experimental evidence on the role of self-healing …"
[HTML][HTML] Self-healing concrete: a scientometric analysis-based review of the research development and scientific mapping,"X He, MN Amin, K Khan, W Ahmad, F Althoey… - … in Construction Materials, 2022 - Elsevier","… of the bibliometric data on self-healing concrete (SHC) in order to … Therefore, creating 
self-healing materials capable of … Concrete, the most widely used construction material in the world…"
Autogenous self-healing of cement with expansive minerals-II: Impact of age and the role of optimised expansive minerals in healing performance,"T Qureshi, A Kanellopoulos, A Al-Tabbaa - Construction and Building …, 2019 - Elsevier","… self-healing and the cracking age of cementitious materials. The hydration degree of cementitious 
materials … The microstructure of materials was investigated using XRD, TGA and SEM-…"
Self-healing processes in concrete,"E Schlangen, C Joseph - Self-healing materials: Fundamentals …, 2009 - Wiley Online Library","… A number of terms, such as intelligent materials, smart materials, smart structures, and 
sensory structures have been used in the literature for this new field of self-healing materials. …"
Application of microbial self-healing concrete: Case study,"C Qian, T Zheng, X Zhang, Y Su - Construction and Building Materials, 2021 - Elsevier","… Then, the construction technologies of microbial self-healing concrete were explored through 
… construction experience of microbial self-healing cement-based materials. The feasibility of …"
Multichannel and repeatable self‐healing of mechanical enhanced graphene‐thermoplastic polyurethane composites,"L Huang, N Yi, Y Wu, Y Zhang, Q Zhang… - … materials, 2013 - Wiley Online Library","… In summary, a novel self-healing material based on graphene material was prepared via a … 
promising self-healing material and find wide applications in transport industries, construction …"
Construction of mechanically strong and dual network-induced elastomeric materials with self-healing functionality,"A Gupta, S Aiswarya, D Basu, SS Banerjee - Polymer, 2022 - Elsevier","Imparting contradictory features like mechanical robustness and self-healing capability in 
an elastomer is pretty tough. In this work, introduction of zinc dimethacrylate (ZDMA) onto …"
Advanced materials for use in soft self‐healing devices,"TP Huynh, P Sonar, H Haick - Advanced Materials, 2017 - Wiley Online Library","… several aspects of the self-healing materials chemistry (from non… the self-healing materials 
with partially or fully self-healing … -construction of small-scale multilayer self-healing devices.86…"
[PDF][PDF] A self-healing enzymatic construction material,"S Wang, SF Scarlata, N Rahbar - Matter, 2022 - cell.com","… Here, we report on the development of self-healing construction material using sand 
aggregates, a trace amount of CA, a small dose of scaffolding material with a crosslinking agent, …"
