Title,Abstract,Journal,Language,Year,Month
"Self-Healing Polymeric Composite Material Design, Failure Analysis and Future Outlook: A Review.","The formation of micro-cracks and crack propagation is still an acute problem in polymer and polymer composites. These micro-cracks usually occur while the materials are manufactured or serviced. The development and coalescence of these cracks reduces the lifespan and brings about a catastrophic failure of the materials. Novel scientific research on polymeric self-healing is emphasised in a number of publications, which consist of contributions from many of the prominent researchers in this area. Progress in this field can eventually enable scientist to construct new flexible materials that both monitor the material's integrity and repair the deformed material prior to the occurrence of any fatal failures. This report describes recent trends that have been used in material science and computational methods to mitigate the development of micro-cracks and crack propagation in polymer composites.",Polymers,eng,2017,Oct
The Construction of a Footbridge Prototype with Biological Self-Healing Concrete: A Field Study in a Humid Continental Climate Region.,"Biological self-healing concrete (BSHC) offers a sustainable and economical way of increasing the lifespan of structures vulnerable to cracking. In recent decades, an enormous research effort has been dedicated to developing and optimizing the bacterial healing process. Nevertheless, most studies have been carried out under laboratory conditions. To verify the effectiveness and longevity of the embedded healing systems under normal service conditions, field studies on BSHC structures must be performed. In the present study, BSHC beams were designed as a structural part of a prototype footbridge. To select the optimal BSHC mix composition, a series of laboratory tests were also carried out. Laboratory tests have shown that the healing ratio in BSHC elements under rain-simulating healing conditions was several times higher in comparison to control specimens. Based on the laboratory results, the BSHC mix composition was selected and applied for structural bridge beams. To the best of the authors' knowledge, the present study reports the first application of BSHC in a prototype footbridge. The long-term data gathered on the healing process in a humid continental climate zone will allow the benefits of biological self-healing to be quantitatively evaluated and will pave the way for the further optimization of this material.","Materials (Basel, Switzerland)",eng,2022,Dec
Glucose and MMP-9 dual-responsive hydrogel with temperature sensitive self-adaptive shape and controlled drug release accelerates diabetic wound healing.,"Chronic diabetic wounds are an important healthcare challenge. High concentration glucose, high level of matrix metalloproteinase-9 (MMP-9), and long-term inflammation constitute the special wound environment of diabetic wounds. Tissue necrosis aggravates the formation of irregular wounds. All the above factors hinder the healing of chronic diabetic wounds. To solve these issues, a glucose and MMP-9 dual-response temperature-sensitive shape self-adaptive hydrogel (CBP/GMs@Cel&INS) was designed and constructed with polyvinyl alcohol (PVA) and chitosan grafted with phenylboric acid (CS-BA) by encapsulating insulin (INS) and gelatin microspheres containing celecoxib (GMs@Cel). Temperature-sensitive self-adaptive CBP/GMs@Cel&INS provides a new way to balance the fluid-like mobility (self-adapt to deep wounds quickly, approximately 37 °C) and solid-like elasticity (protect wounds against external forces, approximately 25 °C) of self-adaptive hydrogels, while simultaneously releasing insulin and celecoxib on-demand in the environment of high-level glucose and MMP-9. Moreover, CBP/GMs@Cel&INS exhibits remodeling and self-healing properties, enhanced adhesion strength (39.65 ± 6.58 kPa), down-regulates MMP-9, and promotes cell proliferation, migration, and glucose consumption. In diabetic full-thickness skin defect models, CBP/GMs@Cel&INS significantly alleviates inflammation and regulates the local high-level glucose and MMP-9 in the wounds, and promotes wound healing effectively through the synergistic effect of temperature-sensitive shape-adaptive character and the dual-responsive system.",Bioactive materials,eng,2022,Nov
Recent Advances in Electronic Skins with Multiple-Stimuli-Responsive and Self-Healing Abilities.,"Wearable electronic skin (e-skin) has provided a revolutionized way to intelligently sense environmental stimuli, which shows prospective applications in health monitoring, artificial intelligence and prosthetics fields. Drawn inspiration from biological skins, developing e-skin with multiple stimuli perception and self-healing abilities not only enrich their bionic multifunctionality, but also greatly improve their sensory performance and functional stability. In this review, we highlight recent important developments in the material structure design strategy to imitate the fascinating functionalities of biological skins, including molecular synthesis, physical structure design, and special biomimicry engineering. Moreover, their specific structure-property relationships, multifunctional application, and existing challenges are also critically analyzed with representative examples. Furthermore, a summary and perspective on future directions and challenges of biomimetic electronic skins regarding function construction will be briefly discussed. We believe that this review will provide valuable guidance for readers to fabricate superior e-skin materials or devices with skin-like multifunctionalities and disparate characteristics.","Materials (Basel, Switzerland)",eng,2022,Feb
Self-Healing Functional Electronic Devices.,"Electronic devices with various functions bring great convenience and revolutionize the way we live. They are inevitable to degrade over time because of physical or chemical fatigue and damage during practical operation. To make these devices have the ability to autonomously heal from cracks and restore their mechanical and electrical properties, self-healing materials emerged as the time requires for constructing robust and self-healing electronic devices. Here the development of self-healing electronic devices with different functions, for example, energy harvesting, energy storage, sensing, and transmission, is reviewed. The new application scenarios and existing challenges are explored, and possible strategies and perspectives for future practical applications are discussed.","Small (Weinheim an der Bergstrasse, Germany)",eng,2021,Oct
Construction of Self-Healing Disulfide-Linked Silicone Elastomers by Thiol Oxidation Coupling Reaction.,"Developing self-healing silicone elastomers are highly significant because of their promising applications. Herein, we present novel self-healing disulfide-linked silicone elastomers (SEs) based on thiol-terminated sulfur-containing heterochain polysiloxanes (P-SHs) and three thiol-containing crosslinkers, including pentaerythritol tetrakis(β-mercaptopropionate) (PETMP), octa(3-mercaptopropyl)silsesquioxane (POSS-SH), and poly[(mercaptopropyl)methylsiloxane] (PMMS), via the thiol oxidation coupling reactions. The construction of these SEs can rapidly proceed at room temperature. The effects of crosslinker species and amounts on the formability and mechanical properties were investigated. The silicone elastomers can be self-healed by heating at 150 °C for 2 h or under UV radiation for 30 min after cutting them into pieces and the self-healing efficiency is >70%. Moreover, they can be utilized as adhesives for bonding glass sheets, which can hold a 200 g weight. The bonding is reversible and can repeatedly proceed many times, indicating that these materials can promisingly be applied as reversible adhesives. These results indicate that a thiol oxidation coupling reaction is a simple and effective strategy for the construction of self-healing disulfide-linked elastomers. Under this strategy, more disulfide-linked organic elastomers with self-healing properties can be designed and constructed and their applications can be further explored.",Polymers,eng,2021,Oct
CuAAC-Based Click Chemistry in Self-Healing Polymers.,"Click chemistry has emerged as a significant tool for materials science, organic chemistry, and bioscience. Based on the initial concept of Barry Sharpless in 2001, the copper(I)-catalyzed azide/alkyne cycloaddition (CuAAC) reaction has triggered a plethora of chemical concepts for linking molecules and building blocks under ambient conditions, forming the basis for applications in autonomous cross-linking materials. Self-healing systems on the other hand are often based on mild cross-linking chemistries that are able to react either autonomously or upon an external trigger. In the ideal case, self-healing takes place efficiently at low temperatures, independent of the substrate(s) used, by forming strong and stable networks, binding to the newly generated (cracked) interfaces to restore the original material properties. The use of the CuAAC in self-healing systems, most of all the careful design of copper-based catalysts linked to additives as well as the chemical diversity of substrates, has led to an enormous potential of applications of this singular reaction. The implementation of click-based strategies in self-healing systems therefore is highly attractive, as here chemical (and physical) concepts of molecular reactivity, molecular design, and even metal catalysis are connected to aspects of materials science. In this Account, we will show how CuAAC reactions of multivalent components can be used as a tool for self-healing materials, achieving cross-linking at low temperatures (exploiting concepts of autocatalysis or internal chelation within the bulk CuAAC and systematic optimization of the efficiency of the used Cu(I) catalysts). Encapsulation strategies to separate the click components by micro- and nanoencapsulation are required in this context. Consequently, the examples reported here describe chemical concepts to realize more efficient and faster click reactions in self-healing polymeric materials. Thus, enhanced chain diffusion in (hyper)branched polymers, autocatalysis, or internal chelation concepts enable efficient click cross-linking already at 5 °C with a simultaneously reduced amount of Cu(I) catalyst and increased reaction rates, culminating in the first reported self-healing system based on click cycloaddition reactions. Via tailor-made nanocarbon/Cu(I) catalysts we can further improve the click cross-linking reaction in view of efficiency and kinetics, leading to the generation of self-healing graphene-based epoxy nanocomposites. Additionally, we have designed special CuAAC click methods for chemical reporting and visualization systems based on the detection of ruptured capsules via a fluorogenic click reaction, which can be combined with CuAAC cross-linking reactions to obtain simultaneous stress detection and self-healing within polymeric materials. In a similar concept, we have prepared polymeric Cu(I)-biscarbene complexes to detect (mechanical) stress within self-healing polymeric materials via a triggered fluorogenic reaction, thus using a destructive force for a constructive chemical response.",Accounts of chemical research,eng,2017,Oct
Progress in self-healing hydrogels assembled by host-guest interactions: preparation and biomedical applications.,"Self-healing is one of the most fundamental properties of living tissues that allows them to withstand repeated damage. Self-healing hydrogels, which can spontaneously recover themselves after being ruptured, result in enhanced lifetimes for materials and open up a fascinating direction in materials science. Host-guest interactions have been widely used in the construction of self-healing hydrogels. We have emphasized the preparation and biomedical applications of self-healing hydrogels assembled by host-guest interactions, focusing on hosts of cyclodextrins and cucurbit[n]urils with various guests and tailored structures. The applications of self-healing hydrogels in biomedical fields such as drug delivery, encapsulation of cells and tissue engineering and 3D printing as well as interfacial adhesion were also summarized. At the end of this review, we propose the current challenges and future perspectives in this developing area.",Journal of materials chemistry. B,eng,2019,Mar
Mechanical Characteristics and Self-Healing Soil-Cementitious Hydrogel Materials in Mine Backfill Using Hybridized ANFIS-SVM.,"The compressive strength, shrinkage, elasticity, and electrical resistivity of the cement-soil pastes (slag, fly ash) of self-healing of cementitious concrete have been studied while adding hydrogels with nano silica (NSi) in this research. Defining the hydraulic and mechanical properties of these materials requires improvement to motivate more uptake for new buildings. Initially, examining the impact of different synthesized hydrogels on cement-soil pastes showed that solid particles in the mixtures highly affected the absorption capacity of NSi, representing the importance of direct interactions between solid particles and hydrogels in a cementitious matrix. All test results were analyzed by use of a hybridized soft computing model such as the adaptive neuro fuzzy inference system (ANFIS) and support vector regression (SVR) for precise studying and the avoidance of few empirical tests or error percentages. Subsequently, the best RMSE of ANFIS is 0.6568 and the best RMSE of SVM is 1.2564; the RMSE of ANFIS-SVM (0.5643) in the test phase is also close to zero, showing a better performance in hypothesizing self-healing soil-cementitious hydrogel materials in mine backfill. The R2 value for ANFIS-SVM is 0.9547, proving that it is a proper model for predicting the study's goal. Electrical resistivity and compressive strength declined in the cement-soil pastes including hydrogels according to experimental outcomes; it was lowered by the increase of NSi concentration in the hydrogel. There was a decrement in the autogenous shrinkage of cement-soil pastes while adding hydrogel, depending on the NSi concentration in the hydrogels. The findings of this research are pivotal for the internal curing of cementitious materials to define the absorption of hydrogels.","Gels (Basel, Switzerland)",eng,2022,Jul
Principles and Applications of Ultrasonic-Based Nondestructive Methods for Self-Healing in Cementitious Materials.,"Recently, self-healing technologies have emerged as a promising approach to extend the service life of social infrastructure in the field of concrete construction. However, current evaluations of the self-healing technologies developed for cementitious materials are mostly limited to lab-scale experiments to inspect changes in surface crack width (by optical microscopy) and permeability. Furthermore, there is a universal lack of unified test methods to assess the effectiveness of self-healing technologies. Particularly, with respect to the self-healing of concrete applied in actual construction, nondestructive test methods are required to avoid interrupting the use of the structures under evaluation. This paper presents a review of all existing research on the principles of ultrasonic test methods and case studies pertaining to self-healing concrete. The main objective of the study is to examine the applicability and limitation of various ultrasonic test methods in assessing the self-healing performance. Finally, future directions on the development of reliable assessment methods for self-healing cementitious materials are suggested.","Materials (Basel, Switzerland)",eng,2017,Mar
Transformation of Construction Cement to a Self-Healing Hybrid Binder.,"A new biomimetic strategy to im prove the self-healing properties of Portland cement is presented that is based on the application of the biogenic inorganic polymer polyphosphate (polyP), which is used as a cement admixture. The data show that synthetic linear polyp, with an average chain length of 40, as well as natural long-chain polyP isolated from soil bacteria, has the ability to support self-healing of this construction material. Furthermore, polyP, used as a water-soluble Na-salt, is subject to Na<sup>+</sup>/Ca<sup>2+</sup> exchange by the Ca<sup>2+</sup> from the cement, resulting in the formation of a water-rich coacervate when added to the cement surface, especially to the surface of bacteria-containing cement/concrete samples. The addition of polyP in low concentrations (<1% on weight basis for the solids) not only accelerated the hardening of cement/concrete but also the healing of microcracks present in the material. The results suggest that long-chain polyP is a promising additive that increases the self-healing capacity of cement by mimicking a bacteria-mediated natural mechanism.",International journal of molecular sciences,eng,2019,Jun
Advanced self-healing asphalt composites in the pavement performance field: mechanisms at the nano level and new repairing methodologies.,"In an effort to give a global view of this field of research, in this mini-review we highlight the most recent publications and patents focusing on modified asphalt pavements that contain certain reinforcing nanoparticles which impart desirable thermal, electrical and mechanical properties. In response to the increasing cost of asphalt binder and road maintenance, there is a need to look for alternative technologies and new asphalt composites, able to self-repair, for preserving and renewing the existing pavements. First, we will focus on the self-healing property of asphalt, the evidences that support that healing takes place immediately after the contact between the faces of a crack, and how the amount of healing can be measured in both the laboratory and the field. Next we review the hypothetical mechanisms of healing to understand the material behaviour and establish models to quantify the damage-healing process. Thereafter, we outline different technologies, nanotechnologies and methodologies used for self-healing paying particular attention to embedded micro-capsules, new nano-materials like carbon nanotubes and nano-fibres, ionomers, and microwave and induction heating processes.",Recent patents on nanotechnology,eng,2015,No Data
Recent advances in self-healing polyurethane based on dynamic covalent bonds combined with other self-healing methods.,"To meet more application requirements, improving mechanical properties and self-healing efficiency has become the focus of current research on self-healing PU. The competitive relationship between self-healing ability and mechanical properties cannot be avoided by a single self-healing method. To address this problem, a growing number of studies have combined dynamic covalent bonding with other self-healing methods to construct the PU structure. This review summarizes recent studies on PU materials that combine typical dynamic covalent bonds with other self-healing methods. It mainly includes four parts: hydrogen bonding, metal coordination bonding, nanofillers combined with dynamic covalent bonding and multiple dynamic covalent bond bonding. The advantages and disadvantages of different self-healing methods and their significant role in improving self-healing ability and mechanical properties in PU networks are analyzed. At the same time, the possible challenges and research directions of self-healing PU materials in the future are discussed.",Nanoscale,eng,2023,Apr
"High-stretchable, self-healing, self-adhesive, self-extinguishing, low-temperature tolerant starch-based gel and its application in stimuli-responsiveness.","Starch with active hydroxyl groups is one of the most attractive carbohydrates for the preparation of gels in recent years. However, the mechanical properties, self-healing properties, self-adhesion properties, especially low-temperature resistance are generally unsatisfactory for current starch-based gels. Based on that, a multiple network structure of amylopectin-carboxymethyl cellulose-polyacrylamide (ACP) gel was prepared by a ""cooking"" method. Tannic acid (TA) was used to construct multiple hydrogen bonds among molecular chains. ACP gel demonstrates high elongation at break (1090 %) and strength, self-healing performance and adhesion behavior, extraordinary low-temperature resistance (-80 °C) and self-extinguishing. As a sensor device, ACP gel can effectively monitor human movements and microscopic expression changes and achieve real-time monitoring under harsh conditions (After multiple cutting-healing steps, under low-temperature conditions, even a month later). Additionally, ACP gel could be served to detect temperature changes with a wide operating range and a high sensitivity of 33 %·°C<sup>-1</sup>, which is promising to monitor the changes in temperature. More interestingly, ACP gel can even monitor the cooking process and breathing frequency with fast response, implying applications in food processing, disease diagnosis and medical treatment. This study provides new opportunities for the design and fabrication of carbohydrate-based gels with multiple performance and multifunctional electronic devices.",Carbohydrate polymers,eng,2023,May
Evaluation of Internal and Superficial Self-Healing of Cracks in Concrete with Crystalline Admixtures.,"Reinforced concrete structures are prone to cracking. The development of cementitious matrices with the capacity for self-healing soon after these cracks appear represents savings with inspections and repairs of the structures. Self-healing can be stimulated with the use of crystalline admixtures. Such materials easily react with water and increase the density of C-S-H (hydrated-calcium-silicate), forming insoluble deposits blocking existing pores and cracks. In this research, self-healing in concrete cracks was evaluated using three different crystalline admixtures, submitted to two and six wetting-drying cycles. The efficiency of self-healing was evaluated by optical microscopy and using the chloride diffusion test, which allowed calculating the predicted useful life of the concretes. The results highlight two important findings: (i) in optical microscopy, crystalline admixtures were not efficient in promoting self-healing on the surface of cracks in any of the studied concretes; (ii) the passage of chlorides by diffusion was lower for concretes with crystalline admixtures compared to the reference, showing better internal healing of these materials and, consequently, greater prediction of the concrete's useful life.","Materials (Basel, Switzerland)",eng,2020,Nov
Distinct Mechanical and Self-Healing Properties in Two Polydimethylsiloxane Coordination Polymers with Fine-Tuned Bond Strength.,"Coordination bonds are effective for constructing highly efficient self-healing materials as their strength is highly tunable. To design self-healing polymers with better performance, it is important to get a profound understanding of the structure-property relationships. However, this is challenging for self-healing polymers based on coordination bonds, because many parameters, such as bond energy, bond dynamics, and coordination number will have an essential effect on the mechanical and self-healing properties of the polymer. In this work, we synthesized two poly(dimethylsiloxane) (PDMS) polymers cross-linked by different Zn(II)-diiminopyridine coordination complexes (denoted as PDMS-NNN-Zn, PDMS-MeNNN-Zn respectively). The two cross-linking Zn(II)-diiminopyridine complexes are similar in coordination modes, but differ in coordination dynamics. As manifested by ITC, rheology, and tensile experiments, we confirm that the coordination bond in PDMS-MeNNN-Zn polymer films is weaker but more dynamic. Consequently, the PDMS-MeNNN-Zn polymer has poorer mechanical strength but higher stretchability and better self-healing properties. The inflicted cracks on PDMS-MeNNN-Zn polymer films can be completely healed after healing at room temperature for only 30 min with healing efficiencies higher than 90%. Such fast self-healing properties have never been achieved in self-healing polymers based on coordination bonds. Our results also demonstrate the important impact of the thermodynamic stability and kinetic lability of coordination complexes on the mechanical and self-healing properties of polymers. Such a comprehensive understanding is helpful for further design of novel synthetic polymers, which can achieve an optimal balance between the mechanical strength and self-healing performance.",Inorganic chemistry,eng,2018,Mar
Self-Healing Polymers Based on Coordination Bonds.,"Self-healing ability is an important survival feature in nature, with which living beings can spontaneously repair damage when wounded. Inspired by nature, people have designed and synthesized many self-healing materials by encapsulating healing agents or incorporating reversible covalent bonds or noncovalent interactions into a polymer matrix. Among the noncovalent interactions, the coordination bond is demonstrated to be effective for constructing highly efficient self-healing polymers. Moreover, with the presence of functional metal ions or ligands and dynamic metal-ligand bonds, self-healing polymers can show various functions such as dielectrics, luminescence, magnetism, catalysis, stimuli-responsiveness, and shape-memory behavior. Herein, the recent developments and achievements made in the field of self-healing polymers based on coordination bonds are presented. The advantages of coordination bonds in constructing self-healing polymers are highlighted, the various metal-ligand bonds being utilized in self-healing polymers are summarized, and examples of functional self-healing polymers originating from metal-ligand interactions are given. Finally, a perspective is included addressing the promises and challenges for the future development of self-healing polymers based on coordination bonds.","Advanced materials (Deerfield Beach, Fla.)",eng,2020,Jul
